year,geo,value
1990,WLD,9
1991,WLD,11
1992,WLD,13
1993,WLD,15
1994,WLD,17
1995,WLD,20
1996,WLD,20
1997,WLD,22
1998,WLD,24
1999,WLD,27
2000,WLD,27
2001,WLD,30
2002,WLD,30
2003,WLD,30
2004,WLD,31
2005,WLD,34
2006,WLD,38
2007,WLD,42
2008,WLD,44
2009,WLD,47
2010,WLD,49
2011,WLD,52
2012,WLD,54
2013,WLD,55
2014,WLD,56
2015,WLD,59
2016,WLD,59
2017,WLD,59
2018,WLD,59
2019,WLD,60
2020,WLD,61
2021,WLD,61
