year,geo,value
2005,WLD,1
2006,WLD,1
2007,WLD,2
2008,WLD,4
2009,WLD,5
2010,WLD,6
2011,WLD,7
2012,WLD,9
2013,WLD,16
2014,WLD,18
2015,WLD,18
2016,WLD,20
2017,WLD,21
2018,WLD,22
2019,WLD,25
2020,WLD,27
2021,WLD,30
